,gender,age,job
0,0,1,4
1,0,1,4
2,0,1,4
3,0,1,4
4,0,2,2
5,0,2,2
6,1,0,7
7,1,0,7
8,0,1,7
9,0,1,7
10,0,3,2
11,0,2,4
12,0,2,4
13,0,1,4
14,0,1,2
15,0,1,2
16,0,0,4
17,0,3,3
18,1,1,4
19,1,1,4
20,1,0,7
21,1,0,0
22,0,1,4
23,0,1,4
24,0,2,7
25,0,2,7
26,0,0,3
27,1,0,4
28,1,0,4
29,0,1,4
30,0,1,4
31,1,0,7
32,0,3,7
33,1,0,4
34,1,0,4
35,1,0,4
36,0,0,4
37,0,1,2
38,0,1,4
39,0,1,4
40,0,1,4
41,0,0,4
42,0,0,4
43,0,0,4
44,0,3,2
45,0,3,2
46,1,0,4
47,1,0,4
48,0,1,4
49,0,1,4
50,0,1,7
51,0,1,4
52,0,1,4
53,1,0,4
54,1,0,4
55,1,0,4
56,1,1,7
57,1,1,7
58,0,0,4
59,0,0,4
60,1,3,7
61,1,3,7
62,0,0,7
63,0,2,2
64,0,2,2
65,0,1,4
66,0,3,9
67,0,3,9
68,1,0,3
69,1,0,3
70,1,1,4
71,0,3,7
72,0,3,7
73,0,3,7
74,0,3,7
75,0,3,7
76,0,3,7
77,0,2,4
78,1,1,2
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,2,3
85,0,2,7
86,0,2,7
87,0,1,4
88,0,2,4
89,0,2,4
90,0,1,4
91,0,1,4
92,0,3,4
93,0,3,4
94,0,3,4
95,0,3,4
96,0,3,4
97,1,1,4
98,1,1,4
99,1,1,4
100,1,1,4
101,1,1,4
102,1,1,4
103,1,1,4
104,1,1,4
105,1,1,4
106,0,0,5
107,0,0,5
108,0,0,5
109,0,0,5
110,0,0,5
111,0,0,5
112,0,0,5
113,0,0,5
114,0,3,3
115,0,3,3
116,1,0,7
117,1,0,7
118,1,0,7
119,0,1,7
120,0,1,7
121,0,1,7
122,0,1,3
123,0,1,7
124,0,1,7
125,0,1,7
126,0,1,7
127,0,3,6
128,0,3,6
129,0,3,6
130,0,3,6
131,0,3,6
132,0,3,6
133,0,2,1
134,0,2,1
135,0,1,1
136,0,0,7
137,0,0,7
138,0,0,7
139,0,1,4
140,0,1,4
141,0,1,4
142,0,1,4
143,0,1,4
144,0,1,1
145,0,2,3
146,0,0,3
147,0,0,3
148,0,0,3
