,year,month,day,hour,minute,second,price,amount,menu_name,haku_id,gender,age,job
0,2018,11,1,10,1,55,300,1,トール・アイスコーヒー,974ced318342cee6d016bbff02f1907d,男性,20代,アカウントプロデュース職
1,2018,11,1,10,1,55,240,1,トール・アイスウーロン,974ced318342cee6d016bbff02f1907d,男性,20代,アカウントプロデュース職
2,2018,11,1,10,1,55,300,1,トール・アイスコーヒー,974ced318342cee6d016bbff02f1907d,男性,20代,アカウントプロデュース職
3,2018,11,1,10,7,56,230,1,カレーパン,f5bf2143356f3b6881bab401b4f11e98,男性,30代,アカウントプロデュース職
4,2018,11,1,10,7,56,240,1,ショート・レギュラーコーヒー,f5bf2143356f3b6881bab401b4f11e98,男性,30代,アカウントプロデュース職
5,2018,11,1,10,12,15,390,1,トール・アイスソイラテ,d81aeb9a4bd1325ea8a4a0d9c27eadf2,男性,40代,アカウントプロデュース職
6,2018,11,1,10,13,50,270,1,トール・アイスティー,6d0104a0174070752d08ebcbef4da45b,男性,20代,クリエイティブ職
7,2018,11,1,11,3,12,360,1,フルーツヨーグルト,3da0840f01d5fe756d34a56b1a1688ca,男性,30代,アカウントプロデュース職
8,2018,11,1,11,38,18,220,1,ごはんセット,5e6d31607de0840728b504dbff75f15a,男性,30代,アカウントプロデュース職
9,2018,11,1,11,38,18,190,1,鶏もも肉のゆかりチーズ焼き,5e6d31607de0840728b504dbff75f15a,男性,30代,アカウントプロデュース職
10,2018,11,1,11,38,18,110,1,ピータン豆腐,5e6d31607de0840728b504dbff75f15a,男性,30代,アカウントプロデュース職
11,2018,11,1,11,38,18,110,1,キャベツとじゃこのサラダ,5e6d31607de0840728b504dbff75f15a,男性,20代,ストラテジックプラニング職
12,2018,11,1,11,38,18,10,2,包材10,5e6d31607de0840728b504dbff75f15a,男性,30代,アカウントプロデュース職
13,2018,11,1,11,46,18,220,1,ごはんセット,c42fdfbcb00f1c4c6a6d5a38f66d099d,男性,30代,アカウントプロデュース職
14,2018,11,1,11,46,18,110,1,イカの天ぷら,c42fdfbcb00f1c4c6a6d5a38f66d099d,男性,30代,アカウントプロデュース職
15,2018,11,1,11,46,18,110,1,ピータン豆腐,c42fdfbcb00f1c4c6a6d5a38f66d099d,男性,30代,アカウントプロデュース職
16,2018,11,1,11,46,18,110,1,キャベツとじゃこのサラダ,c42fdfbcb00f1c4c6a6d5a38f66d099d,男性,30代,アカウントプロデュース職
17,2018,11,1,11,46,18,260,1,ごまだれ豚しゃぶ,c42fdfbcb00f1c4c6a6d5a38f66d099d,男性,20代,アカウントプロデュース職
18,2018,11,1,11,55,21,110,1,サラダ小,ffbe0e0cc8325c0cd0eed1fb1e880ef9,男性,30代,アカウントプロデュース職
19,2018,11,1,11,55,21,120,1,おにぎり,ffbe0e0cc8325c0cd0eed1fb1e880ef9,男性,40代,アカウントプロデュース職
20,2018,11,1,11,55,21,570,1,ラーメン,ffbe0e0cc8325c0cd0eed1fb1e880ef9,男性,20代,アカウントプロデュース職
21,2018,11,1,11,57,57,780,1,ごまだれの豚しゃぶ定食,ac273b9dbbdbe801a7bde3482626047d,男性,40代,アカウントプロデュース職
22,2018,11,1,11,57,57,100,1,ドリンクセット,ac273b9dbbdbe801a7bde3482626047d,男性,30代,アカウントプロデュース職
23,2018,11,1,11,57,57,30,1,十五穀米,ac273b9dbbdbe801a7bde3482626047d,男性,30代,アカウントプロデュース職
24,2018,11,1,12,3,25,690,1,きのこラーメン,cb1845d41c2708d0aa1bb032cbed9d94,男性,30代,アカウントプロデュース職
25,2018,11,1,12,3,25,100,1,12F SET IC,cb1845d41c2708d0aa1bb032cbed9d94,男性,30代,アカウントプロデュース職
26,2018,11,1,12,5,35,220,1,ごはんセット,657f73caadb54f01662663a2b44397ff,男性,30代,アカウントプロデュース職
27,2018,11,1,12,5,35,110,1,イカの天ぷら,657f73caadb54f01662663a2b44397ff,男性,30代,アカウントプロデュース職
28,2018,11,1,12,5,35,260,1,ごまだれ豚しゃぶ,657f73caadb54f01662663a2b44397ff,男性,30代,アカウントプロデュース職
29,2018,11,1,12,5,35,110,1,キャベツとじゃこのサラダ,657f73caadb54f01662663a2b44397ff,男性,30代,アカウントプロデュース職
30,2018,11,1,12,8,24,780,1,ごまだれの豚しゃぶ定食,333c73a284adce04fd89255c95886c1e,男性,30代,アカウントプロデュース職
31,2018,11,1,12,8,24,30,1,十五穀米,333c73a284adce04fd89255c95886c1e,男性,40代,アカウントプロデュース職
32,2018,11,1,12,14,19,200,1,バランスサラダS,c7bb10e2ac8fb82984df8760c17f7f5f,男性,40代,アカウントプロデュース職
33,2018,11,1,12,14,19,310,1,ランチカレー（ハーフ）,c7bb10e2ac8fb82984df8760c17f7f5f,男性,20代,アカウントプロデュース職
34,2018,11,1,12,39,31,760,1,メバルの塩こうじ焼き定食,7f663fc3c344635c990afae61aea8973,男性,40代,アカウントプロデュース職
35,2018,11,1,12,39,31,100,1,ドリンクセット,7f663fc3c344635c990afae61aea8973,男性,30代,アカウントプロデュース職
36,2018,11,1,12,39,31,30,1,十五穀米,7f663fc3c344635c990afae61aea8973,男性,40代,アカウントプロデュース職
37,2018,11,1,12,46,48,350,1,トール・ラテ,b36b6b7dd0d7908ba4676acbd07e847e,男性,30代,アカウントプロデュース職
38,2018,11,1,12,47,6,570,1,和風キーマカレーうどん,2353d1201d0e59dd4bd671f41959a823,男性,30代,アカウントプロデュース職
39,2018,11,1,12,47,6,260,1,ミニ丼260,2353d1201d0e59dd4bd671f41959a823,男性,30代,アカウントプロデュース職
40,2018,11,1,12,47,6,100,1,12F SET J,2353d1201d0e59dd4bd671f41959a823,男性,30代,アカウントプロデュース職
41,2018,11,1,12,59,37,510,1,たぬきそば,1d241d268def788b32bb361bdbbc4711,男性,30代,アカウントプロデュース職
42,2018,11,1,12,59,37,100,1,12F SET IC,1d241d268def788b32bb361bdbbc4711,男性,20代,クリエイティブ職
43,2018,11,1,13,0,18,400,1,バランスサラダL,28536d8512597e5171042ceb62a2b276,男性,20代,クリエイティブ職
44,2018,11,1,13,0,18,300,1,バランスサラダM,28536d8512597e5171042ceb62a2b276,男性,30代,アカウントプロデュース職
45,2018,11,1,13,0,18,10,1,包材10,28536d8512597e5171042ceb62a2b276,男性,30代,アカウントプロデュース職
46,2018,11,1,13,0,18,10,1,包材10,28536d8512597e5171042ceb62a2b276,男性,30代,アカウントプロデュース職
47,2018,11,1,13,0,38,260,1,ごまだれ豚しゃぶ,28536d8512597e5171042ceb62a2b276,男性,30代,アカウントプロデュース職
48,2018,11,1,13,0,38,80,1,納豆,28536d8512597e5171042ceb62a2b276,男性,30代,アカウントプロデュース職
49,2018,11,1,13,0,51,780,1,ごまだれの豚しゃぶ定食,db26431eb0ab4d6484ad80408aab9e96,男性,20代,メディアプロデュース職
50,2018,11,1,13,1,23,160,1,ラップサンド大葉（ハーフ）,28536d8512597e5171042ceb62a2b276,男性,30代,アカウントプロデュース職
51,2018,11,1,13,2,15,230,1,チキンカツサンド,0ed6485344a3b69d9f040db315f62a1f,男性,30代,アカウントプロデュース職
52,2018,11,1,13,2,15,390,1,グランデ・アイスオレ,0ed6485344a3b69d9f040db315f62a1f,男性,20代,アカウントプロデュース職
53,2018,11,1,13,4,25,290,1,ショート・ラテ,df079a57105cebc6ba33e6ce96161dd5,男性,30代,アカウントプロデュース職
